4/3/25 19:33:0, Microphone: 176, Temp =  83.29, AccX =  -0.09, AccY =  -0.00, AccZ =  1.00, GyroX =  0.07, GyroY =  -2.94, GyroZ =  0.35
4/3/25 19:33:3, Microphone: -32, Temp =  82.92, AccX =  -0.10, AccY =  -0.00, AccZ =  1.00, GyroX =  0.07, GyroY =  -2.87, GyroZ =  0.42

4/3/25 19:33:4, Microphone: -12, Temp =  82.98, AccX =  -0.10, AccY =  -0.00, AccZ =  1.00, GyroX =  0.00, GyroY =  -2.94, GyroZ =  0.35

4/3/25 19:33:5, Microphone: -9, Temp =  82.86, AccX =  -0.09, AccY =  -0.00, AccZ =  1.00, GyroX =  0.00, GyroY =  -2.87, GyroZ =  0.28

4/3/25 19:33:6, Microphone: -52, Temp =  82.98, AccX =  -0.10, AccY =  -0.00, AccZ =  1.00, GyroX =  -0.07, GyroY =  -2.87, GyroZ =  0.21

4/3/25 19:33:8, Microphone: -20, Temp =  83.00, AccX =  -0.10, AccY =  -0.00, AccZ =  1.00, GyroX =  0.00, GyroY =  -2.87, GyroZ =  0.28

4/3/25 19:33:9, Microphone: 21, Temp =  83.05, AccX =  -0.10, AccY =  -0.00, AccZ =  1.00, GyroX =  0.07, GyroY =  -2.80, GyroZ =  0.49

4/3/25 19:33:10, Microphone: 47, Temp =  83.00, AccX =  -0.10, AccY =  -0.00, AccZ =  1.00, GyroX =  0.00, GyroY =  -2.94, GyroZ =  0.49

4/3/25 19:33:11, Microphone: 29, Temp =  82.96, AccX =  -0.09, AccY =  -0.00, AccZ =  1.00, GyroX =  -0.14, GyroY =  -2.80, GyroZ =  0.21

4/3/25 19:33:13, Microphone: -29, Temp =  82.98, AccX =  -0.09, AccY =  -0.00, AccZ =  1.00, GyroX =  0.07, GyroY =  -2.87, GyroZ =  0.35

4/3/25 19:33:14, Microphone: -18, Temp =  82.92, AccX =  -0.10, AccY =  -0.00, AccZ =  1.00, GyroX =  -0.07, GyroY =  -2.87, GyroZ =  0.42

4/3/25 19:33:15, Microphone: -83, Temp =  82.98, AccX =  -0.10, AccY =  -0.00, AccZ =  1.00, GyroX =  0.07, GyroY =  -2.73, GyroZ =  0.07

4/3/25 19:33:16, Microphone: -44, Temp =  82.99, AccX =  -0.10, AccY =  -0.00, AccZ =  1.00, GyroX =  0.00, GyroY =  -2.87, GyroZ =  0.35

4/3/25 19:33:17, Microphone: -27, Temp =  83.00, AccX =  -0.10, AccY =  -0.01, AccZ =  1.00, GyroX =  0.07, GyroY =  -3.08, GyroZ =  0.28

4/3/25 19:33:19, Microphone: -12, Temp =  82.93, AccX =  -0.10, AccY =  -0.00, AccZ =  1.00, GyroX =  0.14, GyroY =  -3.01, GyroZ =  0.42

4/3/25 19:33:20, Microphone: -2, Temp =  82.97, AccX =  -0.10, AccY =  -0.01, AccZ =  1.00, GyroX =  0.00, GyroY =  -2.87, GyroZ =  0.28

4/3/25 19:33:21, Microphone: 50, Temp =  82.97, AccX =  -0.10, AccY =  -0.00, AccZ =  1.00, GyroX =  -0.07, GyroY =  -2.87, GyroZ =  0.35

4/3/25 19:33:22, Microphone: 11, Temp =  82.85, AccX =  -0.10, AccY =  -0.00, AccZ =  1.00, GyroX =  0.07, GyroY =  -2.73, GyroZ =  0.35

4/3/25 19:33:24, Microphone: -10, Temp =  82.98, AccX =  -0.10, AccY =  -0.01, AccZ =  1.00, GyroX =  0.00, GyroY =  -3.08, GyroZ =  0.35

4/3/25 19:33:25, Microphone: -126, Temp =  82.98, AccX =  -0.10, AccY =  -0.00, AccZ =  1.00, GyroX =  0.00, GyroY =  -2.66, GyroZ =  0.35

4/3/25 19:33:26, Microphone: -2, Temp =  82.92, AccX =  -0.10, AccY =  -0.00, AccZ =  1.00, GyroX =  0.07, GyroY =  -2.66, GyroZ =  0.35

4/3/25 19:33:27, Microphone: 199, Temp =  83.01, AccX =  -0.10, AccY =  -0.00, AccZ =  1.00, GyroX =  0.00, GyroY =  -2.87, GyroZ =  0.28

4/3/25 19:33:29, Microphone: 61, Temp =  82.93, AccX =  -0.10, AccY =  -0.00, AccZ =  1.00, GyroX =  0.07, GyroY =  -2.87, GyroZ =  0.28

4/3/25 19:33:30, Microphone: -11, Temp =  82.89, AccX =  -0.10, AccY =  -0.00, AccZ =  1.00, GyroX =  0.14, GyroY =  -2.87, GyroZ =  0.28

4/3/25 19:33:31, Microphone: -5, Temp =  83.00, AccX =  -0.10, AccY =  -0.00, AccZ =  1.00, GyroX =  0.00, GyroY =  -2.94, GyroZ =  0.28

4/3/25 19:33:32, Microphone: 10, Temp =  82.89, AccX =  -0.09, AccY =  -0.00, AccZ =  1.00, GyroX =  0.07, GyroY =  -2.87, GyroZ =  0.21

4/3/25 19:33:34, Microphone: 2, Temp =  82.88, AccX =  -0.09, AccY =  -0.00, AccZ =  1.00, GyroX =  0.07, GyroY =  -2.66, GyroZ =  0.35

4/3/25 19:33:35, Microphone: -7, Temp =  82.93, AccX =  -0.10, AccY =  -0.00, AccZ =  1.00, GyroX =  0.14, GyroY =  -2.94, GyroZ =  0.35

4/3/25 19:33:36, Microphone: -33, Temp =  82.92, AccX =  -0.10, AccY =  -0.00, AccZ =  1.00, GyroX =  -0.07, GyroY =  -2.73, GyroZ =  0.28

4/3/25 19:33:37, Microphone: -16, Temp =  82.95, AccX =  -0.10, AccY =  -0.00, AccZ =  1.00, GyroX =  0.00, GyroY =  -2.73, GyroZ =  0.42

4/3/25 19:33:38, Microphone: 21, Temp =  82.99, AccX =  -0.10, AccY =  -0.00, AccZ =  1.00, GyroX =  -0.07, GyroY =  -2.94, GyroZ =  0.14

4/3/25 19:33:40, Microphone: 33, Temp =  82.96, AccX =  -0.10, AccY =  -0.00, AccZ =  1.00, GyroX =  0.00, GyroY =  -2.94, GyroZ =  0.35

4/3/25 19:33:41, Microphone: -44, Temp =  82.96, AccX =  -0.09, AccY =  -0.00, AccZ =  1.00, GyroX =  0.00, GyroY =  -2.94, GyroZ =  0.28

4/3/25 19:33:42, Microphone: -31, Temp =  82.93, AccX =  -0.10, AccY =  -0.00, AccZ =  1.00, GyroX =  0.00, GyroY =  -2.87, GyroZ =  0.28

4/3/25 19:33:43, Microphone: 11, Temp =  82.89, AccX =  -0.10, AccY =  -0.00, AccZ =  1.00, GyroX =  0.07, GyroY =  -2.87, GyroZ =  0.21

4/3/25 19:33:45, Microphone: 23, Temp =  82.99, AccX =  -0.10, AccY =  -0.00, AccZ =  1.00, GyroX =  0.14, GyroY =  -2.80, GyroZ =  0.35

4/3/25 19:33:46, Microphone: 13, Temp =  82.90, AccX =  -0.10, AccY =  -0.00, AccZ =  1.00, GyroX =  0.07, GyroY =  -2.87, GyroZ =  0.28

